time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-12T02:00:26.426Z,30.0659,80.2927,10,4.3,mb,,94,6.082,0.51,us,us60006ag4,2020-02-07T20:20:14.040Z,"32 km NW of Dh?rchula, India",earthquake,8.7,1.9,0.113,22,reviewed,us,us
2019-03-16T23:41:28.160Z,27.4854,76.867,10,4,mb,,98,6.883,0.74,us,us1000jh8z,2019-06-01T21:24:20.040Z,"13 km W of Govindgarh, India",earthquake,12.1,1,0.119,19,reviewed,us,us
2019-02-20T02:29:34.520Z,29.3387,77.3166,10,4,mb,,198,5.515,0.61,us,us2000jkem,2019-05-11T17:40:41.040Z,"4 km ENE of K?ndhla, India",earthquake,12.9,2,0.26,4,reviewed,us,us
2018-09-10T00:58:05.880Z,28.8193,76.8395,10,3.6,mb,,217,5.704,0.89,us,us2000hbnn,2018-11-21T18:19:07.040Z,"7 km NE of Kheri S?mpla, India",earthquake,13.1,2,0.166,9,reviewed,us,us
2018-09-09T11:07:02.910Z,28.6531,76.8101,10,4.6,mb,,95,8.843,1.05,us,us2000hgq4,2020-07-10T17:18:09.647Z,"13 km WSW of Bah?durgarh, India",earthquake,6.5,1.9,0.182,9,reviewed,us,us
2018-07-08T04:13:25.170Z,27.7857,76.207,10,3.6,mb,,224,6.369,0.99,us,us2000g00w,2022-08-08T05:49:38.444Z,"9 km N of Kotputli, India",earthquake,10.2,2,0.224,5,reviewed,us,us
2018-07-01T10:07:02.900Z,29.0928,76.9296,10,4.5,mb,,150,5.517,1.03,us,us2000fsyl,2020-07-10T17:12:12.662Z,"13 km NW of Son?pat, India",earthquake,11.9,1.9,0.131,17,reviewed,us,us
2018-06-16T22:06:35.230Z,31.7248,77.6864,10,3.2,mb,,180,4.19,1.31,us,us1000euye,2018-09-07T17:47:08.040Z,"25 km NNW of Sar?han, India",earthquake,9.3,2,0.278,3,reviewed,us,us
2018-06-14T00:42:07.560Z,30.8612,78.2815,10,4.4,mb,,166,5.075,0.76,us,us1000ewlh,2018-09-07T17:47:09.040Z,"9 km NE of Barkot, India",earthquake,4.9,1.9,0.12,20,reviewed,us,us
2018-06-06T17:41:24.020Z,30.7553,78.9228,10,4.5,mb,,151,5.594,1.19,us,us1000ejt1,2018-08-29T16:34:38.040Z,"45 km E of Uttark?shi, India",earthquake,10.2,1.9,0.081,44,reviewed,us,us
2018-05-21T10:51:02.750Z,31.7412,78.4799,10,4.5,mb,,104,4.788,0.82,us,us1000e99b,2018-08-21T21:23:47.040Z,"69 km ENE of Sar?han, India",earthquake,5.2,1.8,0.097,31,reviewed,us,us
